 Generated on 02-Apr-2026 at 11:55:37 using ROSCO-v2.6.0
                Time          WE_Cp                    WE_b                     WE_w                     WE_t                     WE_Vm                    WE_Vt                    WE_Vw                    WE_lambda                PC_PICommand             GenSpeedF                RotSpeedF                NacIMU_FA_AccF           FA_AccF                  Fl_PitCom                PC_MinPit                axisTilt_1P              axisYaw_1P               axisTilt_2P              axisYaw_2P               YawRateCom               NacHeadingTarge          NacVaneOffset            Yaw_err                  YawState                 FF_PitchRate             REWS                     REWS_f                   REWS_b                   GenTq                    VS_State                 PltFomPtchRate           PltFomPtchRateF
               (sec)          [-]                      [-]                      [-]                      [-]                      [m/s]                    [m/s]                    [m/s]                    [rad]                    [rad]                    [rad/s]                  [rad/s]                  [rad/s]                  [m/s]                    [rad]                    [rad]                                                                                                                        [rad/s]                  [rad]                    [rad]                    [rad]                                             [rad/s]                  [m/s]                    [m/s]                    [m/s]                    [Nm]                                              [rad/s]                  [rad/s]        
             0.00000              2.50000E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20000E+01              0.00000E+00              1.20000E+01              7.98081E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.01250              3.18751E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20000E+01             -6.13083E-15              1.20000E+01              7.98081E+00              1.10925E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.02500              3.20543E-01              1.10925E-01              7.91681E-01              1.97868E+07              1.20000E+01              1.13741E-09              1.20000E+01              7.98081E+00              1.11690E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.03750              3.19047E-01              1.11690E-01              7.91681E-01              1.97868E+07              1.20000E+01              3.39039E-09              1.20000E+01              7.98081E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.05000              3.18751E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20000E+01              8.59440E-09              1.20000E+01              7.98081E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.06250              3.18751E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20000E+01              1.84229E-08              1.20000E+01              7.98081E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.07500              3.18751E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20000E+01              3.45525E-08              1.20000E+01              7.98081E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.08750              3.18751E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20000E+01              5.88879E-08              1.20000E+01              7.98081E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.10000              3.18751E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20000E+01              9.35640E-08              1.20000E+01              7.98081E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
